case	consumer	surface	output_shape	status_bearing	digest_bearing	server_unreachable	verdict	mandated_by	baseline_provenance
arms/A1/c01-healthy-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c01-healthy-ro/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c01-healthy-ro/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c01-healthy-ro/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c01-healthy-ro/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c01-healthy-ro/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c01-healthy-ro/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c01-healthy-ro/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c01-healthy-rw/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c01-healthy-rw/consumers.tsv	list-json	ae list	digest	no	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c01-healthy-rw/consumers.tsv	list-all	ae list	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c01-healthy-rw/consumers.tsv	list-all-json	ae list	digest	yes	yes	yes	EXPECTED-DIVERGENCE	SC-509d+SC-017l/m	OBSERVED
arms/A1/c01-healthy-rw/consumers.tsv	ls-alias	ae ls	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c01-healthy-rw/consumers.tsv	ls-alias-all	ae ls	human-status	yes	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
arms/A1/c01-healthy-rw/consumers.tsv	requests-all	helper:requests	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c01-healthy-rw/consumers.tsv	events-tail	helper:events-tail	neither	no	no	yes	EXPECTED-MATCH	-	-
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list	ae list	neither	no	no	yes	EXPECTED-DIVERGENCE	SC-017l/m	OBSERVED
