arm	D3-rsync-recorder-canary
section	L-DISCRIM
roster_ids	SC-814 discriminator
exists_because	the SC-814 canary proved the ssh recorder and inherited an unproven rsync one: the valid-name transfer dies at the SSH probe and never reaches rsync
construction	the recorder is first exercised by a DIRECT rsync invocation through the same delegate-and-log shim; then ae valid-name transfer path is run and both gates that precede any rsync invocation are captured
hook_patch_version	none (frozen, unmodified)
binary.sha256	b7b8aa9fb77afc0705abdfaadf60cc58911f1cac46fe2ec993578fe5451575fd
recorder.direct.invocations	2
ae.valid_name.ssh.invocations	1
ae.valid_name.rsync.invocations	0
ae.valid_name.rc	1
canary_available	NO
OBSERVATION	gates.txt carries both gates verbatim; ARM-INVALID.txt carries the finding when the canary is unavailable. No zero from an undemonstrated recorder is reported.
