case	consumer	surface	rc_base	rc_suc	stdout_cmp	stderr_cmp	clone_fp	clone_fp_recorded	why
arms/A1/c01-healthy-ro/consumers.tsv	list	ae list	0	0	differ	differ	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	c940ecaed0bba78bb6b78f7a286ed3c65f601aa18f5a0babda6d2910aa062f18	human-differ
arms/A1/c01-healthy-ro/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	c940ecaed0bba78bb6b78f7a286ed3c65f601aa18f5a0babda6d2910aa062f18	digest-scored
arms/A1/c01-healthy-ro/consumers.tsv	list-all	ae list	0	0	differ	differ	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	c940ecaed0bba78bb6b78f7a286ed3c65f601aa18f5a0babda6d2910aa062f18	human-differ
arms/A1/c01-healthy-ro/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	c940ecaed0bba78bb6b78f7a286ed3c65f601aa18f5a0babda6d2910aa062f18	digest-scored
arms/A1/c01-healthy-ro/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	c940ecaed0bba78bb6b78f7a286ed3c65f601aa18f5a0babda6d2910aa062f18	human-differ
arms/A1/c01-healthy-ro/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	c940ecaed0bba78bb6b78f7a286ed3c65f601aa18f5a0babda6d2910aa062f18	human-differ
arms/A1/c01-healthy-ro/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	c940ecaed0bba78bb6b78f7a286ed3c65f601aa18f5a0babda6d2910aa062f18	helper-not-in-rust-cli
arms/A1/c01-healthy-ro/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	c940ecaed0bba78bb6b78f7a286ed3c65f601aa18f5a0babda6d2910aa062f18	helper-not-in-rust-cli
arms/A1/c01-healthy-rw/consumers.tsv	list	ae list	0	0	differ	differ	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	075d5a2c2b065c8511193a8b16ee9d7785ae91ce8d9ba3020d7bc40a171ff667	human-differ
arms/A1/c01-healthy-rw/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	075d5a2c2b065c8511193a8b16ee9d7785ae91ce8d9ba3020d7bc40a171ff667	digest-scored
arms/A1/c01-healthy-rw/consumers.tsv	list-all	ae list	0	0	differ	differ	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	075d5a2c2b065c8511193a8b16ee9d7785ae91ce8d9ba3020d7bc40a171ff667	human-differ
arms/A1/c01-healthy-rw/consumers.tsv	list-all-json	ae list	0	0	pass	empty-ok	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	075d5a2c2b065c8511193a8b16ee9d7785ae91ce8d9ba3020d7bc40a171ff667	digest-scored
arms/A1/c01-healthy-rw/consumers.tsv	ls-alias	ae ls	0	0	differ	differ	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	075d5a2c2b065c8511193a8b16ee9d7785ae91ce8d9ba3020d7bc40a171ff667	human-differ
arms/A1/c01-healthy-rw/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	2f1b2ea3f8bfcc3a950686c788aed33b4fb91eae0699b0304f28784ebd0cd8e8	075d5a2c2b065c8511193a8b16ee9d7785ae91ce8d9ba3020d7bc40a171ff667	human-differ
arms/A1/c01-healthy-rw/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	075d5a2c2b065c8511193a8b16ee9d7785ae91ce8d9ba3020d7bc40a171ff667	helper-not-in-rust-cli
arms/A1/c01-healthy-rw/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	075d5a2c2b065c8511193a8b16ee9d7785ae91ce8d9ba3020d7bc40a171ff667	helper-not-in-rust-cli
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list	ae list	0	0	differ	empty-ok	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	167845758dd6755ea404ebbb53bef4abc3ecdc8e0511d90ed566dd9c0169180f	human-differ
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	167845758dd6755ea404ebbb53bef4abc3ecdc8e0511d90ed566dd9c0169180f	digest-scored
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-all	ae list	0	0	differ	differ	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	167845758dd6755ea404ebbb53bef4abc3ecdc8e0511d90ed566dd9c0169180f	human-differ
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-all-json	ae list	0	0	pass	differ	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	167845758dd6755ea404ebbb53bef4abc3ecdc8e0511d90ed566dd9c0169180f	digest-scored
arms/A1/c02-meta-mode-000-ro/consumers.tsv	ls-alias	ae ls	0	0	differ	empty-ok	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	167845758dd6755ea404ebbb53bef4abc3ecdc8e0511d90ed566dd9c0169180f	human-differ
arms/A1/c02-meta-mode-000-ro/consumers.tsv	ls-alias-all	ae ls	0	0	differ	differ	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	167845758dd6755ea404ebbb53bef4abc3ecdc8e0511d90ed566dd9c0169180f	human-differ
arms/A1/c02-meta-mode-000-ro/consumers.tsv	requests-all	helper:requests	0	-	unimplemented	unimplemented	-	167845758dd6755ea404ebbb53bef4abc3ecdc8e0511d90ed566dd9c0169180f	helper-not-in-rust-cli
arms/A1/c02-meta-mode-000-ro/consumers.tsv	events-tail	helper:events-tail	143	-	unimplemented	unimplemented	-	167845758dd6755ea404ebbb53bef4abc3ecdc8e0511d90ed566dd9c0169180f	helper-not-in-rust-cli
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list	ae list	0	0	differ	empty-ok	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	03fc645781ec224d20f5f6d11b0c87280197126af028f6047893d7dc8354a8f6	human-differ
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list-json	ae list	0	0	pass	empty-ok	683f025c6304b8a4a8fe6d4ce16280c020246b0410841945ce7df68acc61795f	03fc645781ec224d20f5f6d11b0c87280197126af028f6047893d7dc8354a8f6	digest-scored
