# generated_tuple	contract_blob=2c832b31a890d4e08a45ed6dcb98a0562d023e5b obligations_sha256=d67f2a9819df24a21255c2dca92b349e98a78274630cb5b0488342f8fda12dd4 added_roster_gap_sha256=bc16e65516ab61aba5bc28a5f49310a778d87e63100e8e53530947fb5c169341 sc509c_unproved_sha256=e6cef753e9dc88dbb46cc5b6d1468d007f7c986953576a63d23140f98767d489
idx	case	consumer	verdict	detail	b_sessions	s_sessions	b_cover	s_cover
1	arms/A1/c01-healthy-ro/consumers.tsv	list	fixture-abort	HUMAN-CLOCK-BRACKET-MISSING /Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0001-list/human-clock-bracket.tsv: [Errno 2] No such file or directory: '/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0001-list/human-clock-bracket.tsv'				
3	arms/A1/c01-healthy-ro/consumers.tsv	list-all	fixture-abort	HUMAN-CLOCK-BRACKET-MISSING /Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0003-list-all/human-clock-bracket.tsv: [Errno 2] No such file or directory: '/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0003-list-all/human-clock-bracket.tsv'				
5	arms/A1/c01-healthy-ro/consumers.tsv	ls-alias	fixture-abort	HUMAN-CLOCK-BRACKET-MISSING /Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0005-ls-alias/human-clock-bracket.tsv: [Errno 2] No such file or directory: '/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0005-ls-alias/human-clock-bracket.tsv'				
6	arms/A1/c01-healthy-ro/consumers.tsv	ls-alias-all	fixture-abort	HUMAN-CLOCK-BRACKET-MISSING /Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0006-ls-alias-all/human-clock-bracket.tsv: [Errno 2] No such file or directory: '/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0006-ls-alias-all/human-clock-bracket.tsv'				
9	arms/A1/c01-healthy-rw/consumers.tsv	list	fixture-abort	HUMAN-CLOCK-BRACKET-MISSING /Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0009-list/human-clock-bracket.tsv: [Errno 2] No such file or directory: '/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0009-list/human-clock-bracket.tsv'				
11	arms/A1/c01-healthy-rw/consumers.tsv	list-all	fixture-abort	HUMAN-CLOCK-BRACKET-MISSING /Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0011-list-all/human-clock-bracket.tsv: [Errno 2] No such file or directory: '/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0011-list-all/human-clock-bracket.tsv'				
13	arms/A1/c01-healthy-rw/consumers.tsv	ls-alias	fixture-abort	HUMAN-CLOCK-BRACKET-MISSING /Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0013-ls-alias/human-clock-bracket.tsv: [Errno 2] No such file or directory: '/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0013-ls-alias/human-clock-bracket.tsv'				
14	arms/A1/c01-healthy-rw/consumers.tsv	ls-alias-all	fixture-abort	HUMAN-CLOCK-BRACKET-MISSING /Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0014-ls-alias-all/human-clock-bracket.tsv: [Errno 2] No such file or directory: '/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0014-ls-alias-all/human-clock-bracket.tsv'				
17	arms/A1/c02-meta-mode-000-ro/consumers.tsv	list	fixture-abort	HUMAN-CLOCK-BRACKET-MISSING /Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0017-list/human-clock-bracket.tsv: [Errno 2] No such file or directory: '/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0017-list/human-clock-bracket.tsv'				
19	arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-all	fixture-abort	HUMAN-CLOCK-BRACKET-MISSING /Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0019-list-all/human-clock-bracket.tsv: [Errno 2] No such file or directory: '/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/phase4-run/captures/0019-list-all/human-clock-bracket.tsv'				
