arm	D5b-supervisor-held-at-entry
section	L-DISCRIM
roster_ids	SC-835e-h discriminator, barrier half
exists_because	catching the singular self-stop supervisor by sampling is a race the sampler loses; holding it at its own entry removes the race
construction	the implicit self-stop is typed into a shell pane inside the session under L-HOOKS-v5, whose only addition over v4 is a barrier at the entry of the SINGULAR stop supervisor; at that barrier the live process table, the supervisor pid and an ancestor walk are recorded, then it is released
hook_patch_version	L-HOOKS-v5
binary.sha256	a773bd392c7e2af95c7b53a52c0980c5910a64e9c83c9865ed39afde9c3709b2
barrier	b_stop_supervisor_singular_entry
caught_alive	YES
supervisor_pid_at_barrier	48880
stop_rc	0
OBSERVATION	at-barrier.ps.txt is the live table while the supervisor was held, supervisor-lineage.txt the ancestor walk taken then, and ps.at-barrier-vs-post.diff the difference against the post-hoc snapshot the earlier artifact was. No verdict is stated here.
